Grade,Semester,Korean_Name,English_Name,Credit,Hour
2,1,수치방법론,NUMERCIAL METHODS,3,3
2,1,웹프로그래밍,WEB PROGRAMMING,3,4
2,1,컴퓨터공학개론,INTRODUCTION TO COMPUTER ENGINEERING,3,3
2,Both,객체지향프로그래밍,OBJECT-ORIENTED PROGRAMMING,3,4
2,Both,시스템프로그래밍,SYSTEM PROGRAMMING,3,3
2,Both,알고리즘,ALGORITHMS,3,3
2,Both,자료구조,DATA STRUCTURE,3,3
2,Both,전공기초프로젝트(종합설계),INTRODUCTORY COMPUTER ENGINEERING PROJECT (CAPSTONE DESIGN),3,4
2,Both,컴퓨터회로,COMPUTER CIRCUITS,3,4
2,Both,컴퓨테이션이론,THEORY OF COMPUTATION,3,3
2,2,랜덤프로세스개론,INTRODUCTION TO STOCHASTIC PROCESSES,3,3
2,2,멀티미디어공학,MULTIMEDIA ENGINEERING,3,3
2,2,소프트웨어공학,SOFTWARE ENGINEERING,3,3
2,2,컴퓨터네트워크1,COMPUTER NETWORKS1,3,3
3,1,SIGNAL PROCESSING,SIGNAL PROCESSING,3,3
3,1,객체지향개발방법론,OBJECT-ORIENTED SOFTWARE DEVELOPMENT,3,4
3,1,데이터베이스,DATABASE,3,3
3,1,모바일프로그래밍,MOBILE PROGRAMING,3,3
3,1,알고리즘연습,ALGORITHM PRACTICE,3,4
3,1,컴퓨터그래픽스,COMPUTER GRAPHICS,3,4
3,1,컴퓨터네트워크2,COMPUTER NETWORKS2,3,3
3,Both,기계학습,MACHINE LEARNING,3,3
3,Both,운영체제,OPERATING SYSTEM,3,3
3,Both,인공지능,ARTIFICIAL INTELLIGENCE,3,3
3,Both,전공심화프로젝트(종합설계),ADVANCED COMPUTER ENGINEERING PROJECT (CAPSTONE DESIGN),3,4
3,Both,컴퓨터구조,COMPUTER ARCHITECTURE,3,3
3,2,고급컴퓨터그래픽스,ADVANCED COMPUTER GRAPHICS,3,4
3,2,데이터사이언스,DATA SCIENCE,3,3
3,2,디지털영상처리,DIGITAL IMAGE PROCESSING,3,3
3,2,병렬프로그래밍,PARALLEL PROGRAMMING,3,3
3,2,소프트웨어아키텍처,SOFTWARE ARCHITECTURE,3,4
3,2,암호학,CRYPTOGRAPHY,3,3
3,2,컴파일러,COMPILER,3,3
3,2,클라우드웹서비스,CLOUD WEB SERVICE,3,4
4,1,가상현실,VIRTUAL REALITY,3,4
4,1,임베디드시스템소프트웨어,EMBEDDED SYSTEM SOFTWARE,3,4
4,1,자연어처리,NATURAL LANGUAGE PROCESSING,3,4
4,1,컴퓨터비전,COMPUTER VISION,3,3
4,1,클라우드IOT서비스,CLOUD IOT SERVICE,3,4
4,Both,분산시스템및컴퓨팅,DISTRIBUTED SYSTEM & COMPUTING,3,4
4,Both,졸업프로젝트1(종합설계),GRADUATION PROJECT 1(CAPSTONE DESIGN),1,1
4,Both,졸업프로젝트2(종합설계),GRADUATION PROJECT 2(CAPSTONE DESIGN),1,1
4,2,HCI,HUMAN COMPUTER INTERACTION,3,3
4,2,웹기술및응용,WEB TECHNOLOGY & APPLICATION,3,4
4,2,차세대분산시스템,ADVANCED DISTRIBUTED SYSTEMS,3,4
4,2,컴퓨터공학세미나,COMPUTER ENGINEERING SEMINAR,1,2
4,2,컴퓨터정보보안,COMPUTER SECURITY,3,3
